Model,Metric,External Validation,Internal Validation,Training
ABC,AUC,0.838 (0.775-0.892),0.905 (0.865-0.938),0.941 (0.923-0.957)
ABC,Accuracy,0.850 (0.814-0.880),0.831 (0.787-0.868),0.867 (0.842-0.889)
ABC,F1,0.514 (0.468-0.560),0.659 (0.606-0.707),0.722 (0.690-0.753)
ABC,NPV,0.943 (0.918-0.961),0.965 (0.940-0.980),0.975 (0.961-0.984)
ABC,Optimal_Threshold,0.402545,0.402545,0.402545
ABC,PPV,0.434 (0.389-0.480),0.529 (0.476-0.582),0.601 (0.566-0.635)
ABC,Precision,0.434 (0.389-0.480),0.529 (0.476-0.582),0.601 (0.566-0.635)
ABC,Recall,0.632 (0.586-0.675),0.871 (0.831-0.903),0.905 (0.883-0.924)
ABC,Sensitivity,0.632 (0.586-0.675),0.871 (0.831-0.903),0.905 (0.883-0.924)
ABC,Specificity,0.881 (0.848-0.908),0.822 (0.777-0.860),0.858 (0.832-0.881)
GBC,AUC,0.857 (0.803-0.908),0.946 (0.917-0.969),0.994 (0.990-0.997)
GBC,Accuracy,0.881 (0.848-0.907),0.880 (0.840-0.910),0.954 (0.936-0.966)
GBC,F1,0.500 (0.454-0.546),0.718 (0.668-0.764),0.889 (0.865-0.909)
GBC,NPV,0.925 (0.897-0.946),0.956 (0.929-0.974),0.993 (0.985-0.997)
GBC,Optimal_Threshold,0.248608,0.248608,0.248608
GBC,PPV,0.529 (0.483-0.575),0.637 (0.584-0.687),0.818 (0.789-0.844)
GBC,Precision,0.529 (0.483-0.575),0.637 (0.584-0.687),0.818 (0.789-0.844)
GBC,Recall,0.474 (0.428-0.520),0.823 (0.778-0.860),0.973 (0.959-0.982)
GBC,Sensitivity,0.474 (0.428-0.520),0.823 (0.778-0.860),0.973 (0.959-0.982)
GBC,Specificity,0.939 (0.914-0.958),0.893 (0.855-0.922),0.949 (0.931-0.962)
LGB,AUC,0.830 (0.762-0.891),0.954 (0.930-0.974),0.985 (0.977-0.991)
LGB,Accuracy,0.876 (0.843-0.904),0.883 (0.843-0.913),0.918 (0.896-0.935)
LGB,F1,0.500 (0.454-0.546),0.738 (0.688-0.783),0.819 (0.791-0.845)
LGB,NPV,0.927 (0.899-0.948),0.971 (0.947-0.985),0.995 (0.987-0.998)
LGB,Optimal_Threshold,0.50255,0.50255,0.50255
LGB,PPV,0.509 (0.463-0.555),0.632 (0.579-0.682),0.704 (0.671-0.735)
LGB,Precision,0.509 (0.463-0.555),0.632 (0.579-0.682),0.704 (0.671-0.735)
LGB,Recall,0.491 (0.445-0.537),0.887 (0.849-0.917),0.980 (0.967-0.988)
LGB,Sensitivity,0.491 (0.445-0.537),0.887 (0.849-0.917),0.980 (0.967-0.988)
LGB,Specificity,0.932 (0.905-0.952),0.881 (0.842-0.912),0.903 (0.880-0.922)
LR,AUC,0.792 (0.713-0.865),0.917 (0.874-0.952),0.949 (0.931-0.964)
LR,Accuracy,0.872 (0.838-0.900),0.852 (0.810-0.887),0.885 (0.861-0.906)
LR,F1,0.525 (0.479-0.570),0.680 (0.628-0.728),0.752 (0.721-0.781)
LR,NPV,0.936 (0.909-0.955),0.959 (0.931-0.975),0.977 (0.964-0.985)
LR,Optimal_Threshold,0.483737,0.483737,0.483737
LR,PPV,0.492 (0.447-0.538),0.571 (0.518-0.624),0.640 (0.605-0.673)
LR,Precision,0.492 (0.447-0.538),0.571 (0.518-0.624),0.640 (0.605-0.673)
LR,Recall,0.561 (0.515-0.606),0.839 (0.795-0.874),0.912 (0.890-0.930)
LR,Sensitivity,0.561 (0.515-0.606),0.839 (0.795-0.874),0.912 (0.890-0.930)
LR,Specificity,0.917 (0.888-0.939),0.856 (0.814-0.889),0.879 (0.854-0.900)
RF,AUC,0.860 (0.808-0.908),0.909 (0.871-0.940),0.954 (0.939-0.968)
RF,Accuracy,0.845 (0.809-0.876),0.792 (0.745-0.832),0.852 (0.825-0.875)
RF,F1,0.478 (0.432-0.524),0.606 (0.552-0.657),0.710 (0.677-0.741)
RF,NPV,0.934 (0.907-0.953),0.959 (0.932-0.976),0.987 (0.976-0.993)
RF,Optimal_Threshold,0.437759,0.437759,0.437759
RF,PPV,0.416 (0.371-0.461),0.469 (0.416-0.523),0.566 (0.531-0.601)
RF,Precision,0.416 (0.371-0.461),0.469 (0.416-0.523),0.566 (0.531-0.601)
RF,Recall,0.561 (0.515-0.606),0.855 (0.813-0.889),0.953 (0.935-0.966)
RF,Sensitivity,0.561 (0.515-0.606),0.855 (0.813-0.889),0.953 (0.935-0.966)
RF,Specificity,0.886 (0.854-0.912),0.778 (0.730-0.819),0.828 (0.800-0.853)
XGB,AUC,0.852 (0.795-0.906),0.938 (0.904-0.964),0.972 (0.960-0.981)
XGB,Accuracy,0.861 (0.826-0.890),0.870 (0.830-0.902),0.889 (0.865-0.909)
XGB,F1,0.496 (0.450-0.542),0.726 (0.676-0.771),0.768 (0.737-0.796)
XGB,NPV,0.932 (0.906-0.952),0.979 (0.957-0.990),0.989 (0.979-0.994)
XGB,Optimal_Threshold,0.481208,0.481208,0.481208
XGB,PPV,0.456 (0.411-0.502),0.600 (0.546-0.651),0.640 (0.605-0.673)
XGB,Precision,0.456 (0.411-0.502),0.600 (0.546-0.651),0.640 (0.605-0.673)
XGB,Recall,0.544 (0.498-0.589),0.919 (0.885-0.944),0.959 (0.943-0.971)
XGB,Sensitivity,0.544 (0.498-0.589),0.919 (0.885-0.944),0.959 (0.943-0.971)
XGB,Specificity,0.907 (0.876-0.930),0.859 (0.818-0.893),0.873 (0.847-0.894)
