Model,Dataset,Metric,Value
RF,Training,Sensitivity,0.771 (0.740-0.800)
RF,Training,Specificity,0.789 (0.759-0.816)
RF,Training,PPV,0.476 (0.441-0.511)
RF,Training,NPV,0.933 (0.913-0.948)
RF,Training,Accuracy,0.785 (0.755-0.813)
RF,Training,F1,0.589 (0.553-0.623)
RF,Training,Precision,0.476 (0.441-0.511)
RF,Training,Recall,0.771 (0.740-0.800)
RF,Training,AUC,0.861 (0.829-0.891)
RF,Training,Optimal_Threshold,0.485877
RF,Internal Validation,Sensitivity,0.684 (0.632-0.732)
RF,Internal Validation,Specificity,0.787 (0.739-0.828)
RF,Internal Validation,PPV,0.402 (0.351-0.456)
RF,Internal Validation,NPV,0.922 (0.888-0.947)
RF,Internal Validation,Accuracy,0.769 (0.721-0.811)
RF,Internal Validation,F1,0.506 (0.453-0.560)
RF,Internal Validation,Precision,0.402 (0.351-0.456)
RF,Internal Validation,Recall,0.684 (0.632-0.732)
RF,Internal Validation,AUC,0.804 (0.739-0.864)
RF,Internal Validation,Optimal_Threshold,0.485877
RF,External Validation,Sensitivity,0.618 (0.572-0.662)
RF,External Validation,Specificity,0.853 (0.817-0.883)
RF,External Validation,PPV,0.370 (0.326-0.415)
RF,External Validation,NPV,0.941 (0.915-0.959)
RF,External Validation,Accuracy,0.824 (0.786-0.856)
RF,External Validation,F1,0.463 (0.417-0.509)
RF,External Validation,Precision,0.370 (0.326-0.415)
RF,External Validation,Recall,0.618 (0.572-0.662)
RF,External Validation,AUC,0.816 (0.756-0.875)
RF,External Validation,Optimal_Threshold,0.485877
LR,Training,Sensitivity,0.771 (0.740-0.800)
LR,Training,Specificity,0.774 (0.743-0.802)
LR,Training,PPV,0.459 (0.424-0.494)
LR,Training,NPV,0.932 (0.912-0.947)
LR,Training,Accuracy,0.774 (0.743-0.802)
LR,Training,F1,0.576 (0.540-0.610)
LR,Training,Precision,0.459 (0.424-0.494)
LR,Training,Recall,0.771 (0.740-0.800)
LR,Training,AUC,0.839 (0.805-0.871)
LR,Training,Optimal_Threshold,0.490974
LR,Internal Validation,Sensitivity,0.702 (0.650-0.749)
LR,Internal Validation,Specificity,0.772 (0.724-0.814)
LR,Internal Validation,PPV,0.392 (0.341-0.446)
LR,Internal Validation,NPV,0.925 (0.892-0.949)
LR,Internal Validation,Accuracy,0.760 (0.711-0.803)
LR,Internal Validation,F1,0.503 (0.449-0.557)
LR,Internal Validation,Precision,0.392 (0.341-0.446)
LR,Internal Validation,Recall,0.702 (0.650-0.749)
LR,Internal Validation,AUC,0.809 (0.746-0.867)
LR,Internal Validation,Optimal_Threshold,0.490974
LR,External Validation,Sensitivity,0.582 (0.536-0.627)
LR,External Validation,Specificity,0.868 (0.834-0.896)
LR,External Validation,PPV,0.381 (0.337-0.427)
LR,External Validation,NPV,0.937 (0.911-0.956)
LR,External Validation,Accuracy,0.833 (0.796-0.865)
LR,External Validation,F1,0.460 (0.415-0.507)
LR,External Validation,Precision,0.381 (0.337-0.427)
LR,External Validation,Recall,0.582 (0.536-0.627)
LR,External Validation,AUC,0.825 (0.771-0.878)
LR,External Validation,Optimal_Threshold,0.490974
GBC,Training,Sensitivity,0.810 (0.781-0.837)
GBC,Training,Specificity,0.768 (0.737-0.796)
GBC,Training,PPV,0.464 (0.429-0.500)
GBC,Training,NPV,0.942 (0.923-0.957)
GBC,Training,Accuracy,0.776 (0.746-0.804)
GBC,Training,F1,0.590 (0.555-0.625)
GBC,Training,Precision,0.464 (0.429-0.500)
GBC,Training,Recall,0.810 (0.781-0.837)
GBC,Training,AUC,0.870 (0.839-0.899)
GBC,Training,Optimal_Threshold,0.176458
GBC,Internal Validation,Sensitivity,0.719 (0.668-0.765)
GBC,Internal Validation,Specificity,0.746 (0.697-0.790)
GBC,Internal Validation,PPV,0.373 (0.322-0.426)
GBC,Internal Validation,NPV,0.927 (0.894-0.950)
GBC,Internal Validation,Accuracy,0.742 (0.692-0.786)
GBC,Internal Validation,F1,0.491 (0.437-0.545)
GBC,Internal Validation,Precision,0.373 (0.322-0.426)
GBC,Internal Validation,Recall,0.719 (0.668-0.765)
GBC,Internal Validation,AUC,0.788 (0.721-0.850)
GBC,Internal Validation,Optimal_Threshold,0.176458
GBC,External Validation,Sensitivity,0.691 (0.647-0.732)
GBC,External Validation,Specificity,0.827 (0.790-0.860)
GBC,External Validation,PPV,0.358 (0.316-0.404)
GBC,External Validation,NPV,0.950 (0.926-0.967)
GBC,External Validation,Accuracy,0.811 (0.772-0.844)
GBC,External Validation,F1,0.472 (0.426-0.518)
GBC,External Validation,Precision,0.358 (0.316-0.404)
GBC,External Validation,Recall,0.691 (0.647-0.732)
GBC,External Validation,AUC,0.823 (0.766-0.882)
GBC,External Validation,Optimal_Threshold,0.176458
ABC,Training,Sensitivity,0.765 (0.733-0.793)
ABC,Training,Specificity,0.747 (0.715-0.776)
ABC,Training,PPV,0.429 (0.394-0.464)
ABC,Training,NPV,0.927 (0.907-0.944)
ABC,Training,Accuracy,0.750 (0.719-0.780)
ABC,Training,F1,0.549 (0.514-0.584)
ABC,Training,Precision,0.429 (0.394-0.464)
ABC,Training,Recall,0.765 (0.733-0.793)
ABC,Training,AUC,0.824 (0.789-0.858)
ABC,Training,Optimal_Threshold,0.334732
ABC,Internal Validation,Sensitivity,0.702 (0.650-0.749)
ABC,Internal Validation,Specificity,0.761 (0.712-0.804)
ABC,Internal Validation,PPV,0.381 (0.330-0.435)
ABC,Internal Validation,NPV,0.924 (0.890-0.948)
ABC,Internal Validation,Accuracy,0.751 (0.701-0.794)
ABC,Internal Validation,F1,0.494 (0.440-0.548)
ABC,Internal Validation,Precision,0.381 (0.330-0.435)
ABC,Internal Validation,Recall,0.702 (0.650-0.749)
ABC,Internal Validation,AUC,0.813 (0.748-0.874)
ABC,Internal Validation,Optimal_Threshold,0.334732
ABC,External Validation,Sensitivity,0.655 (0.609-0.697)
ABC,External Validation,Specificity,0.832 (0.795-0.864)
ABC,External Validation,PPV,0.353 (0.310-0.398)
ABC,External Validation,NPV,0.945 (0.920-0.963)
ABC,External Validation,Accuracy,0.811 (0.772-0.844)
ABC,External Validation,F1,0.459 (0.413-0.505)
ABC,External Validation,Precision,0.353 (0.310-0.398)
ABC,External Validation,Recall,0.655 (0.609-0.697)
ABC,External Validation,AUC,0.830 (0.772-0.883)
ABC,External Validation,Optimal_Threshold,0.334732
XGB,Training,Sensitivity,0.752 (0.720-0.781)
XGB,Training,Specificity,0.815 (0.786-0.841)
XGB,Training,PPV,0.502 (0.467-0.537)
XGB,Training,NPV,0.930 (0.909-0.946)
XGB,Training,Accuracy,0.802 (0.773-0.829)
XGB,Training,F1,0.602 (0.567-0.636)
XGB,Training,Precision,0.502 (0.467-0.537)
XGB,Training,Recall,0.752 (0.720-0.781)
XGB,Training,AUC,0.861 (0.830-0.890)
XGB,Training,Optimal_Threshold,0.51053
XGB,Internal Validation,Sensitivity,0.632 (0.578-0.682)
XGB,Internal Validation,Specificity,0.812 (0.767-0.851)
XGB,Internal Validation,PPV,0.414 (0.362-0.468)
XGB,Internal Validation,NPV,0.913 (0.878-0.939)
XGB,Internal Validation,Accuracy,0.781 (0.733-0.822)
XGB,Internal Validation,F1,0.500 (0.446-0.554)
XGB,Internal Validation,Precision,0.414 (0.362-0.468)
XGB,Internal Validation,Recall,0.632 (0.578-0.682)
XGB,Internal Validation,AUC,0.792 (0.726-0.853)
XGB,Internal Validation,Optimal_Threshold,0.51053
XGB,External Validation,Sensitivity,0.582 (0.536-0.627)
XGB,External Validation,Specificity,0.873 (0.839-0.901)
XGB,External Validation,PPV,0.390 (0.346-0.436)
XGB,External Validation,NPV,0.937 (0.911-0.956)
XGB,External Validation,Accuracy,0.837 (0.800-0.869)
XGB,External Validation,F1,0.467 (0.421-0.513)
XGB,External Validation,Precision,0.390 (0.346-0.436)
XGB,External Validation,Recall,0.582 (0.536-0.627)
XGB,External Validation,AUC,0.817 (0.759-0.875)
XGB,External Validation,Optimal_Threshold,0.51053
LGB,Training,Sensitivity,0.824 (0.795-0.849)
LGB,Training,Specificity,0.776 (0.745-0.804)
LGB,Training,PPV,0.477 (0.442-0.513)
LGB,Training,NPV,0.947 (0.928-0.960)
LGB,Training,Accuracy,0.785 (0.755-0.813)
LGB,Training,F1,0.604 (0.569-0.638)
LGB,Training,Precision,0.477 (0.442-0.513)
LGB,Training,Recall,0.824 (0.795-0.849)
LGB,Training,AUC,0.879 (0.850-0.905)
LGB,Training,Optimal_Threshold,0.469906
LGB,Internal Validation,Sensitivity,0.649 (0.596-0.699)
LGB,Internal Validation,Specificity,0.765 (0.716-0.807)
LGB,Internal Validation,PPV,0.366 (0.316-0.420)
LGB,Internal Validation,NPV,0.912 (0.877-0.938)
LGB,Internal Validation,Accuracy,0.745 (0.695-0.789)
LGB,Internal Validation,F1,0.468 (0.415-0.522)
LGB,Internal Validation,Precision,0.366 (0.316-0.420)
